|------------|--------------------|--------------------|--------------------|--------------------|-----------|
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-13 | 210.19144790738707 |  213.1580823159532 | 208.76307628033234 | 212.68861389160156 |  51909300 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-14 | 212.18917192393894 | 213.69746987061376 | 210.34127831689767 | 212.08929443359375 |  49325800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-15 | 210.71086343228015 | 212.71859464512332 | 209.30245815432872 | 211.21029663085938 |  45029500 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-16 | 212.11926693678467 | 212.32903558469047 | 209.53220664773164 |     211.0205078125 |  54737900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-19 | 207.67431083672193 | 209.24252311349682 | 204.02843943795537 | 208.54331970214844 |  46140500 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-20 |  207.4345828831543 |  208.2336790492342 | 204.79757620413463 | 206.62550354003906 |  42496600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-21 | 204.93741112479617 | 206.80528635778637 |  200.4824756537251 | 201.86090087890625 |  59211800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-22 | 200.48247209416806 | 202.52015274475195 |  199.4736073247078 | 201.13172912597656 |  46742400 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-23 | 193.45045269257122 |  197.4758830409797 | 193.24069928507132 | 195.04864501953125 |  78432900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-27 | 198.07520901450675 | 200.51244545494848 | 197.20618488735448 | 199.98304748535156 |  56288500 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-28 | 200.36260025266836 | 202.50017366149785 | 199.67338002302156 |  200.1927947998047 |  45339700 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-29 |  203.3492174371598 | 203.57895243464628 | 198.28495762525483 | 199.72332763671875 |  51396800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-05-30 | 199.14398126681596 | 201.73105672211125 | 196.55692105301176 |   200.622314453125 |  70819900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-02 | 200.05295557621693 |  201.9008644592711 | 199.89313329888972 | 201.47134399414062 |  35423300 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-03 |  201.1217444882778 |  203.5389992121068 |  200.7321872237246 | 203.03956604003906 |  46381600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-04 | 202.67998220748078 | 206.00620910456834 |  201.8709028727957 |   202.590087890625 |  43604000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-05 | 203.26931435006063 |  204.5178973620389 | 199.92310578136215 | 200.40257263183594 |  55126100 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-06 | 202.76987228695742 |  205.4668084267123 | 201.82095228760733 | 203.68882751464844 |  46607700 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-09 | 204.15830357568726 | 205.76647909477697 | 199.79326227022588 |  201.2216339111328 |  72862600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-10 |  200.3726011094186 | 204.11835001917973 | 200.34263633745982 | 202.44024658203125 |  54672600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-11 | 203.26930749599725 | 204.26817387189894 | 198.18508130061548 | 198.55465698242188 |  60989900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-12 | 198.85432303920933 | 199.45363372918547 | 197.13627162659284 | 198.97418212890625 |  43904600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-13 | 199.50357538920457 |  200.1428492549886 | 195.47814514596445 |   196.227294921875 |  51447300 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-16 | 197.07634287373045 | 198.46476655376847 | 196.33717625414866 |   198.195068359375 |  43020700 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-17 | 196.97644196425614 | 198.16509536417735 | 194.98870767431248 |   195.418212890625 |  38856200 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-18 | 195.71787336797544 |  197.3460303816964 | 194.84886452825484 | 196.35714721679688 |  45394700 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-20 | 198.01527480684123 | 201.47134391409438 |  196.6368343380514 |  200.7721405029297 |  96813500 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-23 | 201.40143343464243 | 202.07067208145295 | 198.73446202428119 | 201.27157592773438 |  55814300 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-24 | 202.36033429336192 |  203.2093768046809 |  199.9730442780961 | 200.07293701171875 |  54064000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-25 |  201.2216365357081 | 203.43912119943792 | 200.39257558111612 | 201.33151245117188 |  39525700 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-26 | 201.20164572639828 | 202.41028074115465 | 199.23389299836737 |  200.7721405029297 |  50799100 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-27 | 201.66113009938155 | 202.98962419564972 | 199.77327327657756 |    200.85205078125 |  73188600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-06-30 | 201.78098710410558 | 207.15489297707504 |  199.0341046248948 | 204.93740844726562 |  91912800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-01 |  206.4357061767528 | 209.95171998702364 | 205.90630823197938 | 207.58441162109375 |  78788900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-02 |  208.6731759252599 | 213.09814660534315 |  207.9040445567577 |  212.1991729736328 |  67941800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-03 | 211.90950026104147 | 214.40666625629999 | 211.56988934364432 | 213.30792236328125 |  34955800 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-07 | 212.43889126622693 |  215.9848699115094 | 208.56330013289198 |  209.7119903564453 |  50229000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-08 | 209.86183643928914 |  211.1903153368944 |   208.213697736729 |  209.7719268798828 |  42848900 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-09 |  209.2924745188519 | 211.09043707809712 | 206.98509558510867 | 210.90065002441406 |  48749400 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2025-07-10 | 210.27134950514616 | 213.23798377907798 |  209.7918979255535 | 212.16920471191406 |  44443600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
